Wall time,Step,Value
1728801540.45314,585140,1230.0
1728801542.9576268,585734,790.0
1728801546.1277287,586488,1160.0
1728801549.9384665,587409,2450.0
1728801555.688762,588828,820.0
1728801559.3611057,589739,1900.0
1728801575.4054055,591673,600.0
1728801591.9652853,595605,1780.0
1728801597.8418825,597024,1840.0
1728801601.1515763,597826,1330.0
1728801604.0704565,598530,880.0
1728801607.6585221,599404,1110.0
1728801619.0068715,600146,910.0
1728801622.1411495,600931,920.0
1728801630.1337564,602867,2010.0
1728801633.3003078,603615,1110.0
1728801637.7611535,604669,2670.0
1728801640.8333883,605394,1550.0
1728801643.9095867,606122,1170.0
1728801650.0375357,607580,1190.0
1728801656.049628,609010,1230.0
1728801659.5873263,609854,1510.0
1728801669.6213078,610457,1070.0
1728801674.9797444,611790,1130.0
1728801678.0971947,612562,1140.0
1728801681.9828608,613527,1750.0
1728801684.1050084,614058,730.0
1728801686.7635655,614721,1090.0
1728801690.658994,615689,1860.0
1728801694.3835332,616612,1520.0
1728801699.8855088,617973,1520.0
1728801703.9104874,618926,1290.0
1728801715.1253119,620026,1830.0
1728801729.475412,623414,1580.0
1728801735.7568045,624894,1390.0
1728801738.2704175,625488,750.0
1728801743.930887,626823,2450.0
1728801747.1591954,627587,1740.0
1728801750.5505993,628387,1230.0
1728801767.6059365,630639,1160.0
1728801774.152801,632184,1530.0
1728801785.7728524,635029,930.0
1728801790.9541104,636316,790.0
1728801793.7479906,637003,1800.0
1728801799.141667,638327,1140.0
1728801818.911893,641021,1540.0
1728801822.0195477,641789,2450.0
1728801825.735226,642714,1380.0
1728801828.2896051,643324,2070.0
1728801832.2368298,644306,1830.0
1728801844.8452964,647399,1350.0
1728801850.2367687,648736,1740.0
1728801852.541,649307,780.0
1728801865.7220867,650783,1470.0
1728801869.135729,651634,1080.0
1728801878.3761628,653862,1070.0
1728801881.1995695,654531,1230.0
1728801885.2513785,655498,2320.0
1728801892.0931,657165,1110.0
1728801898.8251429,658795,1710.0
1728801901.7284987,659486,1060.0
1728801911.5792685,660072,1170.0
1728801917.5267458,661483,2000.0
1728801921.1204743,662335,2640.0
1728801927.7772436,663904,2390.0
1728801930.7662802,664605,860.0
1728801933.5425525,665265,1390.0
1728801939.6499474,666713,1190.0
1728801941.991984,667267,870.0
1728801945.4863276,668089,2440.0
1728801948.9067097,668899,2210.0
1728801952.5694013,669770,1330.0
1728801964.2042542,670662,1390.0
1728801971.657008,672477,1330.0
1728801975.2763553,673364,1350.0
1728801981.1348522,674780,840.0
1728801983.2203565,675292,990.0
1728801985.64549,675872,670.0
1728801990.8554401,677156,3460.0
1728801995.8010373,678377,1070.0
1728801999.830764,679379,1510.0
1728802002.316043,679975,2240.0
1728802012.1714602,680474,1410.0
1728802020.7015722,682494,1110.0
1728802024.144604,683312,1350.0
